FIPS,State,County,FFR09,FFR14,PCH_FFR_09_14,FFRPTH09,FFRPTH14,PCH_FFRPTH_09_14,FSR09,FSR14,PCH_FSR_09_14,FSRPTH09,FSRPTH14,PCH_FSRPTH_09_14,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12
13157,GA,Jackson,27,34,25.92592593,0.449610338,0.549539357,22.22569426,32,31,-3.125,0.532871511,0.50105059,-5.971593664,749.6665528,666.146008,711.7697982,649.8371362
13159,GA,Jasper,4,3,-25,0.288975582,0.22334723,-22.71069089,4,7,75,0.288975582,0.521143538,80.34172126,749.6665528,666.146008,711.7697982,649.8371362
13161,GA,Jeff Davis,6,8,33.33333333,0.402900886,0.538394239,33.62945017,9,4,-55.55555556,0.60435133,0.26919712,-55.45684995,749.6665528,666.146008,711.7697982,649.8371362
13163,GA,Jefferson,9,11,22.22222222,0.527333451,0.676007866,28.19362504,9,7,-22.22222222,0.527333451,0.430186824,-18.42223861,749.6665528,666.146008,711.7697982,649.8371362
13165,GA,Jenkins,5,6,20,0.599592277,0.657534247,9.663561644,3,3,0,0.359755366,0.328767123,-8.61369863,749.6665528,666.146008,711.7697982,649.8371362
13167,GA,Johnson,4,6,50,0.4004004,0.618492939,54.46861148,1,2,100,0.1001001,0.206164313,105.9581486,749.6665528,666.146008,711.7697982,649.8371362
13169,GA,Jones,6,7,16.66666667,0.208986416,0.243165318,16.35460451,7,14,100,0.243817485,0.486330635,99.4650363,749.6665528,666.146008,711.7697982,649.8371362
13171,GA,Lamar,9,8,-11.11111111,0.493610486,0.439391443,-10.98417581,15,9,-40,0.822684144,0.494315373,-39.91431867,749.6665528,666.146008,711.7697982,649.8371362
13173,GA,Lanier,6,4,-33.33333333,0.611620795,0.385616504,-36.95170153,5,5,0,0.509683996,0.48202063,-5.427552299,749.6665528,666.146008,711.7697982,649.8371362
13175,GA,Laurens,42,39,-7.142857143,0.864179749,0.815029989,-5.687446448,30,35,16.66666667,0.61727125,0.73143717,18.49525959,749.6665528,666.146008,711.7697982,649.8371362
13177,GA,Lee,8,13,62.5,0.28242604,0.445342743,57.6847316,6,7,16.66666667,0.21181953,0.239799938,13.20955089,749.6665528,666.146008,711.7697982,649.8371362
13179,GA,Liberty,43,43,0,0.641207259,0.659529433,2.857449615,34,27,-20.58823529,0.507001089,0.414123133,-18.31908413,749.6665528,666.146008,711.7697982,649.8371362
13181,GA,Lincoln,3,3,0,0.371609067,0.393597481,5.917082131,5,5,0,0.619348445,0.655995802,5.917082131,749.6665528,666.146008,711.7697982,649.8371362
13183,GA,Long,2,3,50,0.145064191,0.175305323,20.84672471,2,2,0,0.145064191,0.116870216,-19.43551686,749.6665528,666.146008,711.7697982,649.8371362
13185,GA,Lowndes,102,109,6.862745098,0.948105184,0.960157853,1.271237598,85,86,1.176470588,0.790087653,0.757555738,-4.117507155,749.6665528,666.146008,711.7697982,649.8371362
13187,GA,Lumpkin,16,27,68.75,0.538303671,0.866050808,60.8851761,19,23,21.05263158,0.639235609,0.737746985,15.41080858,749.6665528,666.146008,711.7697982,649.8371362
13189,GA,McDuffie,13,15,15.38461539,0.595347133,0.701918577,17.90072352,15,13,-13.33333333,0.686939,0.608329434,-11.44345656,749.6665528,666.146008,711.7697982,649.8371362
13191,GA,McIntosh,8,10,25,0.560695262,0.703531729,25.47488392,16,14,-12.5,1.121390524,0.984944421,-12.16758126,749.6665528,666.146008,711.7697982,649.8371362
13193,GA,Macon,7,7,0,0.471634551,0.507540603,7.613109049,3,2,-33.33333333,0.202129093,0.145011601,-28.2579273,749.6665528,666.146008,711.7697982,649.8371362
13195,GA,Madison,14,10,-28.57142857,0.499857184,0.353207121,-29.33839261,6,5,-16.66666667,0.214224507,0.17660356,-17.56145804,749.6665528,666.146008,711.7697982,649.8371362
13197,GA,Marion,3,4,33.33333333,0.350426352,0.454700466,29.75635633,4,2,-50,0.467235136,0.227350233,-51.34136638,749.6665528,666.146008,711.7697982,649.8371362
13199,GA,Meriwether,8,10,25,0.356410942,0.471742617,32.35918483,16,13,-18.75,0.712821884,0.613265402,-13.96652986,749.6665528,666.146008,711.7697982,649.8371362
13201,GA,Miller,2,1,-50,0.326211059,0.167841558,-48.54817053,5,4,-20,0.815527646,0.67136623,-17.67707284,749.6665528,666.146008,711.7697982,649.8371362
13205,GA,Mitchell,11,15,36.36363636,0.466259749,0.658732598,41.28017694,14,9,-35.71428571,0.593421499,0.395239559,-33.39648801,749.6665528,666.146008,711.7697982,649.8371362
13207,GA,Monroe,11,13,18.18181818,0.419319178,0.480573731,14.60809716,16,13,-18.75,0.609918805,0.480573731,-21.2069332,749.6665528,666.146008,711.7697982,649.8371362
13209,GA,Montgomery,5,4,-20,0.547285464,0.444889334,-18.70982093,1,1,0,0.109457093,0.111222333,1.612723835,749.6665528,666.146008,711.7697982,649.8371362
13211,GA,Morgan,12,15,25,0.669605491,0.835375362,24.75634885,21,19,-9.523809524,1.171809609,1.058142125,-9.700166545,749.6665528,666.146008,711.7697982,649.8371362
13213,GA,Murray,26,25,-3.846153846,0.65182511,0.634356762,-2.679913337,10,6,-40,0.250701966,0.152245623,-39.27226592,749.6665528,666.146008,711.7697982,649.8371362
13215,GA,Muscogee,167,195,16.76646707,0.884552639,0.970694968,9.738519248,125,123,-1.6,0.662090299,0.612284518,-7.522505687,749.6665528,666.146008,711.7697982,649.8371362
13217,GA,Newton,47,59,25.53191489,0.472390295,0.569086086,20.46947037,37,37,0,0.371881722,0.356884495,-4.032794791,749.6665528,666.146008,711.7697982,649.8371362
13219,GA,Oconee,25,33,32,0.771938492,0.940358476,21.81779842,22,21,-4.545454545,0.679305873,0.598409939,-11.90861684,749.6665528,666.146008,711.7697982,649.8371362
13221,GA,Oglethorpe,5,4,-20,0.338203463,0.272609555,-19.39480679,1,0,-100,0.067640693,0,-100,749.6665528,666.146008,711.7697982,649.8371362
13223,GA,Paulding,61,63,3.278688525,0.433358672,0.422855685,-2.423624374,53,56,5.660377358,0.376524748,0.37587172,-0.173435418,749.6665528,666.146008,711.7697982,649.8371362
13225,GA,Peach,14,19,35.71428571,0.509572687,0.705742515,38.49692763,15,12,-20,0.545970736,0.445732115,-18.35970582,749.6665528,666.146008,711.7697982,649.8371362
13227,GA,Pickens,15,14,-6.666666667,0.507751676,0.466713338,-8.082363792,30,24,-20,1.015503351,0.800080008,-21.21345468,749.6665528,666.146008,711.7697982,649.8371362
13229,GA,Pierce,10,13,30,0.538677009,0.68453478,27.07703649,6,6,0,0.323206206,0.315939129,-2.248433468,749.6665528,666.146008,711.7697982,649.8371362
13231,GA,Pike,6,4,-33.33333333,0.338581344,0.224921278,-33.56950068,6,5,-16.66666667,0.338581344,0.281151597,-16.96187584,749.6665528,666.146008,711.7697982,649.8371362
13233,GA,Polk,32,29,-9.375,0.773208331,0.705030025,-8.817585637,29,24,-17.24137931,0.70072005,0.583473124,-16.73234931,749.6665528,666.146008,711.7697982,649.8371362
13235,GA,Pulaski,9,11,22.22222222,0.756111905,0.957937821,26.69259872,7,5,-28.57142857,0.588087037,0.435426282,-25.95887088,749.6665528,666.146008,711.7697982,649.8371362
13237,GA,Putnam,9,7,-22.22222222,0.424949242,0.330313326,-22.26993415,19,15,-21.05263158,0.897115067,0.70781427,-21.10106098,749.6665528,666.146008,711.7697982,649.8371362
13239,GA,Quitman,0,0,0,0,0,0,0,0,0,0,0,0,749.6665528,666.146008,711.7697982,649.8371362
13241,GA,Rabun,15,17,13.33333333,0.920527769,1.046604691,13.69615629,24,27,12.5,1.472844431,1.66225451,12.86015514,749.6665528,666.146008,711.7697982,649.8371362
13243,GA,Randolph,6,4,-33.33333333,0.775594623,0.546971147,-29.47718675,6,4,-33.33333333,0.775594623,0.546971147,-29.47718675,749.6665528,666.146008,711.7697982,649.8371362
13245,GA,Richmond,146,158,8.219178082,0.735557134,0.78463311,6.671946081,135,130,-3.703703704,0.680138446,0.645584204,-5.080471795,749.6665528,666.146008,711.7697982,649.8371362
13247,GA,Rockdale,79,72,-8.860759494,0.933530281,0.82047542,-12.1104653,81,59,-27.16049383,0.957163959,0.672334025,-29.75769526,749.6665528,666.146008,711.7697982,649.8371362
13249,GA,Schley,3,2,-33.33333333,0.605571256,0.387371683,-36.03202273,1,1,0,0.201857085,0.193685842,-4.048034089,749.6665528,666.146008,711.7697982,649.8371362
13251,GA,Screven,8,5,-37.5,0.53673264,0.354987575,-33.86137735,10,6,-40,0.6709158,0.425985091,-36.50692226,749.6665528,666.146008,711.7697982,649.8371362
13253,GA,Seminole,5,4,-20,0.570776256,0.460511167,-19.31844347,4,4,0,0.456621005,0.460511167,0.85194566,749.6665528,666.146008,711.7697982,649.8371362
13255,GA,Spalding,38,54,42.10526316,0.592500195,0.843908233,42.4317224,41,36,-12.19512195,0.639276526,0.562605489,-11.9934073,749.6665528,666.146008,711.7697982,649.8371362
13257,GA,Stephens,15,15,0,0.575396064,0.588697017,2.311616954,22,14,-36.36363636,0.843914228,0.549450549,-34.89260739,749.6665528,666.146008,711.7697982,649.8371362
13259,GA,Stewart,2,0,-100,0.335120643,0,-100,3,1,-66.66666667,0.502680965,0.174094708,-65.36675952,749.6665528,666.146008,711.7697982,649.8371362
13261,GA,Sumter,17,21,23.52941177,0.519496394,0.672387295,29.43059908,24,16,-33.33333333,0.733406674,0.512295082,-30.14856557,749.6665528,666.146008,711.7697982,649.8371362
13263,GA,Talbot,1,1,0,0.145496872,0.156494523,7.558685446,1,1,0,0.145496872,0.156494523,7.558685446,749.6665528,666.146008,711.7697982,649.8371362
13265,GA,Taliaferro,1,0,-100,0.563697858,0,-100,0,1,,0,0.590667454,,749.6665528,666.146008,711.7697982,649.8371362
13267,GA,Tattnall,7,6,-14.28571429,0.279240466,0.237868696,-14.81582167,5,4,-20,0.199457476,0.158579131,-20.49476689,749.6665528,666.146008,711.7697982,649.8371362
13269,GA,Taylor,5,6,20,0.564716512,0.710732054,25.85643213,2,1,-50,0.225886605,0.118455342,-47.55981995,749.6665528,666.146008,711.7697982,649.8371362
13271,GA,Telfair,8,7,-12.5,0.49382716,0.423780119,-14.18452597,5,5,0,0.308641975,0.302700085,-1.925172539,749.6665528,666.146008,711.7697982,649.8371362
13273,GA,Terrell,4,6,50,0.41684035,0.657030223,57.62155059,3,3,0,0.312630263,0.328515112,5.081033728,749.6665528,666.146008,711.7697982,649.8371362
13275,GA,Thomas,35,37,5.714285714,0.783190494,0.822972041,5.079421568,27,32,18.51851852,0.604175524,0.711759603,17.80675892,749.6665528,666.146008,711.7697982,649.8371362
13277,GA,Tift,42,39,-7.142857143,1.056656939,0.958136792,-9.323758985,30,30,0,0.754754956,0.737028302,-2.348663522,749.6665528,666.146008,711.7697982,649.8371362
13279,GA,Toombs,27,26,-3.703703704,0.99708261,0.95300931,-4.420225518,21,19,-9.523809524,0.775508697,0.696429881,-10.19702508,749.6665528,666.146008,711.7697982,649.8371362
13281,GA,Towns,6,7,16.66666667,0.574492532,0.630744278,9.791554034,22,10,-54.54545455,2.106472616,0.901063255,-57.22406986,749.6665528,666.146008,711.7697982,649.8371362
13283,GA,Treutlen,3,3,0,0.434404865,0.442608439,1.888462673,0,3,,0,0.442608439,,749.6665528,666.146008,711.7697982,649.8371362
13285,GA,Troup,55,53,-3.636363636,0.828038903,0.762930228,-7.862997099,51,50,-1.960784314,0.767817892,0.719745498,-6.260910848,749.6665528,666.146008,711.7697982,649.8371362
13287,GA,Turner,6,8,33.33333333,0.674157303,0.981233902,45.54969541,6,5,-16.66666667,0.674157303,0.613271189,-9.03144037,749.6665528,666.146008,711.7697982,649.8371362
13289,GA,Twiggs,1,1,0,0.108026358,0.120192308,11.26201923,2,1,-50,0.216052717,0.120192308,-44.36899039,749.6665528,666.146008,711.7697982,649.8371362
13291,GA,Union,14,18,28.57142857,0.656106477,0.818777293,24.79335621,17,19,11.76470588,0.796700722,0.86426492,8.480499187,749.6665528,666.146008,711.7697982,649.8371362
13293,GA,Upson,18,18,0,0.657894737,0.685557587,4.204753199,19,13,-31.57894737,0.694444444,0.495124924,-28.70201097,749.6665528,666.146008,711.7697982,649.8371362
13295,GA,Walker,25,23,-8,0.364367749,0.337154417,-7.468644639,24,21,-12.5,0.349793039,0.307836641,-11.99463485,749.6665528,666.146008,711.7697982,649.8371362
13297,GA,Walton,45,50,11.11111111,0.53987259,0.570678537,5.706151281,38,34,-10.52631579,0.455892409,0.388061405,-14.87873081,749.6665528,666.146008,711.7697982,649.8371362
13299,GA,Ware,28,29,3.571428571,0.778101987,0.816556385,4.942076788,30,20,-33.33333333,0.8336807,0.563142334,-32.45107701,749.6665528,666.146008,711.7697982,649.8371362
13301,GA,Warren,1,1,0,0.169090294,0.18115942,7.137681159,3,0,-100,0.507270883,0,-100,749.6665528,666.146008,711.7697982,649.8371362
13303,GA,Washington,11,12,9.090909091,0.517890772,0.581536225,12.28935833,11,11,0,0.517890772,0.533074873,2.9319118,749.6665528,666.146008,711.7697982,649.8371362
13305,GA,Wayne,26,21,-19.23076923,0.866204691,0.701192026,-19.05007744,20,21,5,0.666311301,0.701192026,5.234899329,749.6665528,666.146008,711.7697982,649.8371362
13307,GA,Webster,0,0,0,0,0,0,0,0,0,0,0,0,749.6665528,666.146008,711.7697982,649.8371362
13309,GA,Wheeler,1,1,0,0.13986014,0.125078174,-10.56910569,2,2,0,0.27972028,0.250156348,-10.56910569,749.6665528,666.146008,711.7697982,649.8371362
13311,GA,White,16,22,37.5,0.593714052,0.786557025,32.48078298,31,33,6.451612903,1.150320977,1.179835538,2.56576747,749.6665528,666.146008,711.7697982,649.8371362
13313,GA,Whitfield,82,82,0,0.811808849,0.791949161,-2.446350273,53,58,9.433962264,0.524705719,0.560159162,6.756824229,749.6665528,666.146008,711.7697982,649.8371362
13315,GA,Wilcox,1,2,100,0.109217999,0.226065333,106.9854188,1,2,100,0.109217999,0.226065333,106.9854188,749.6665528,666.146008,711.7697982,649.8371362
13317,GA,Wilkes,6,4,-33.33333333,0.567590578,0.402414487,-29.10127431,5,7,40,0.472992148,0.704225352,48.88732394,749.6665528,666.146008,711.7697982,649.8371362
13319,GA,Wilkinson,2,1,-50,0.207210941,0.107227107,-48.25219816,2,5,150,0.207210941,0.536135535,158.7390092,749.6665528,666.146008,711.7697982,649.8371362
13321,GA,Worth,7,7,0,0.321115648,0.334288443,4.102196753,7,5,-28.57142857,0.321115648,0.238777459,-25.64128803,749.6665528,666.146008,711.7697982,649.8371362
