County,State,Latitude,Longitude
Worth,GA,31.5845,-83.8333
Wilkinson,GA,32.7966,-83.1537
Wilkes,GA,33.7943,-82.7783
Wilcox,GA,31.989,-83.45
Whitfield,GA,34.802,-84.9888
White,GA,34.6527,-83.7674
Wheeler,GA,32.1146,-82.7647
Webster,GA,32.0757,-84.538
Wayne,GA,31.5786,-81.9153
Washington,GA,32.9975,-82.7988
Warren,GA,33.4325,-82.7019
Ware,GA,31.0216,-82.3674
Walton,GA,33.7621,-83.7467
Walker,GA,34.7861,-85.3261
Upson,GA,32.847,-84.2938
Union,GA,34.8145,-83.9604
Twiggs,GA,32.6753,-83.4428
Turner,GA,31.7095,-83.6251
Troup,GA,33.0462,-85.0417
Treutlen,GA,32.4032,-82.5473
Towns,GA,34.8916,-83.7245
Toombs,GA,32.1275,-82.3265
Tift,GA,31.4588,-83.5179
Thomas,GA,30.8684,-83.9073
Terrell,GA,31.7942,-84.4316
Telfair,GA,31.9642,-82.9136
Taylor,GA,32.56,-84.2449
Tattnall,GA,32.0537,-82.0532
Taliaferro,GA,33.5857,-82.857
Talbot,GA,32.7045,-84.519
Sumter,GA,32.0502,-84.2061
Stewart,GA,32.0762,-84.8492
Stephens,GA,34.5742,-83.2794
Spalding,GA,33.2657,-84.27
Seminole,GA,30.8925,-84.8506
Screven,GA,32.7678,-81.6249
Schley,GA,32.2933,-84.3163
Rockdale,GA,33.6557,-84.012
Richmond,GA,33.3856,-82.0915
Randolph,GA,31.7744,-84.7808
Rabun,GA,34.8585,-83.4531
Quitman,GA,31.8817,-85.0187
Putnam,GA,33.3256,-83.3438
Pulaski,GA,32.2541,-83.4876
Polk,GA,33.9981,-85.1824
Pike,GA,33.0887,-84.3827
Pierce,GA,31.3665,-82.2213
Pickens,GA,34.4696,-84.4869
Peach,GA,32.5654,-83.8325
Paulding,GA,33.9259,-84.8869
Oglethorpe,GA,33.8688,-83.0903
Oconee,GA,33.832,-83.416
Newton,GA,33.5555,-83.8413
Muscogee,GA,32.4916,-84.8638
Murray,GA,34.786,-84.7429
Morgan,GA,33.6264,-83.5086
Montgomery,GA,32.1518,-82.5334
Monroe,GA,33.0262,-83.8828
Mitchell,GA,31.2606,-84.1797
Miller,GA,31.1629,-84.7302
Meriwether,GA,33.039,-84.6999
McIntosh,GA,31.4956,-81.4702
McDuffie,GA,33.4859,-82.496
Marion,GA,32.3437,-84.5242
Madison,GA,34.1361,-83.2063
Macon,GA,32.3532,-84.0509
Lumpkin,GA,34.5765,-84.0269
Lowndes,GA,30.8282,-83.2435
Long,GA,31.7775,-81.797
Lincoln,GA,33.8109,-82.4499
Liberty,GA,31.8255,-81.5252
Lee,GA,31.7691,-84.1367
Laurens,GA,32.4323,-82.9229
Lanier,GA,31.0139,-83.0752
Lamar,GA,33.0706,-84.1453
Jones,GA,33.0137,-83.5574
Johnson,GA,32.6656,-82.6422
Jenkins,GA,32.7878,-81.9779
Jefferson,GA,33.0376,-82.4451
Jeff Davis,GA,31.8214,-82.666
Jasper,GA,33.3294,-83.6903
Jackson,GA,34.1326,-83.5846
Irwin,GA,31.6216,-83.2681
Houston,GA,32.4877,-83.6449
Henry,GA,33.4724,-84.1195
Heard,GA,33.2797,-85.1124
Hart,GA,34.3518,-82.9594
Harris,GA,32.7279,-84.8993
Haralson,GA,33.7836,-85.2066
Hancock,GA,33.2596,-82.9988
Hall,GA,34.3063,-83.7851
Habersham,GA,34.6308,-83.5159
Gwinnett,GA,33.9601,-84.0453
Greene,GA,33.5582,-83.1539
Grady,GA,30.8775,-84.2288
Gordon,GA,34.5244,-84.8721
Glynn,GA,31.2334,-81.5432
Glascock,GA,33.2234,-82.6236
Gilmer,GA,34.7061,-84.4542
Fulton,GA,33.845,-84.4039
Franklin,GA,34.3836,-83.2429
Forsyth,GA,34.193,-84.1509
Floyd,GA,34.335,-85.194
Fayette,GA,33.4038,-84.5001
Fannin,GA,34.7944,-84.1995
Evans,GA,32.1637,-81.8891
Emanuel,GA,32.5672,-82.3078
Elbert,GA,34.1232,-82.8596
Effingham,GA,32.346,-81.3226
Echols,GA,30.732,-82.9459
Early,GA,31.2959,-84.8656
Douglas,GA,33.69,-84.7665
Dougherty,GA,31.5429,-84.2219
Dooly,GA,32.1604,-83.8203
Dodge,GA,32.1735,-83.1512
DeKalb,GA,33.7931,-84.22
Decatur,GA,30.8823,-84.5722
Dawson,GA,34.4804,-84.2231
Dade,GA,34.8062,-85.5116
Crisp,GA,31.9167,-83.7665
Crawford,GA,32.6937,-83.9622
Coweta,GA,33.3514,-84.7798
Cook,GA,31.1889,-83.4296
Columbia,GA,33.5274,-82.2215
Colquitt,GA,31.1805,-83.77
Coffee,GA,31.5867,-82.8437
Cobb,GA,33.9125,-84.585
Clinch,GA,30.8844,-82.7311
Clayton,GA,33.5008,-84.352
Clay,GA,31.6344,-85.0101
Clarke,GA,33.9437,-83.3976
Cherokee,GA,34.2442,-84.4561
Chattooga,GA,34.4379,-85.337
Chattahoochee,GA,32.378,-84.8
Chatham,GA,32.0419,-81.1414
Charlton,GA,30.7162,-82.1044
Catoosa,GA,34.8771,-85.1438
Carroll,GA,33.6142,-85.1175
Candler,GA,32.4128,-82.0614
Camden,GA,30.9392,-81.677
Calhoun,GA,31.5358,-84.6324
Butts,GA,33.3124,-83.948
Burke,GA,33.0511,-81.9246
Bulloch,GA,32.4037,-81.7281
Bryan,GA,31.9846,-81.4508
Brooks,GA,30.8589,-83.5455
Brantley,GA,31.1925,-82.0272
Bleckley,GA,32.4283,-83.345
Bibb,GA,32.8066,-83.6856
Berrien,GA,31.251,-83.1933
Ben Hill,GA,31.7537,-83.1608
Bartow,GA,34.2431,-84.8388
Barrow,GA,34.0119,-83.7101
Banks,GA,34.3445,-83.5214
Baldwin,GA,33.0582,-83.2522
Baker,GA,31.2669,-84.4974
Bacon,GA,31.5642,-82.446
Atkinson,GA,31.302,-82.8413
Appling,GA,31.7234,-82.3271
